Attrition,YearsAtCompany,Age,Department,Education,EducationField,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
No,2,35,Research & Development,4,Medical,Female,3,1,Laboratory Technician,1,Married,4014,Yes,15,3,4,3,3,2,2,2
No,2,25,Research & Development,1,Medical,Male,2,1,Research Scientist,4,Married,2889,No,11,3,2,2,3,2,2,1
No,2,22,Research & Development,1,Technical Degree,Male,3,1,Laboratory Technician,4,Married,2523,No,14,3,3,2,3,1,2,1
No,2,50,Sales,3,Marketing,Female,3,3,Sales Executive,4,Single,9208,No,11,3,16,3,3,2,2,1
Yes,2,31,Sales,3,Life Sciences,Female,1,2,Sales Executive,3,Married,4559,Yes,11,3,4,2,3,2,2,2
No,2,25,Sales,3,Life Sciences,Male,2,2,Sales Executive,3,Married,8639,No,18,3,6,3,3,2,2,2
No,2,22,Research & Development,1,Medical,Male,3,1,Research Scientist,4,Married,2323,No,24,4,2,6,3,2,2,2
No,2,27,Research & Development,3,Medical,Male,3,1,Research Scientist,2,Divorced,2024,No,18,3,6,1,1,2,2,2
No,2,56,Research & Development,3,Life Sciences,Female,3,1,Research Scientist,1,Divorced,4257,Yes,18,3,19,3,3,2,2,2
No,2,38,Research & Development,2,Life Sciences,Female,3,1,Laboratory Technician,4,Single,2288,No,12,3,2,3,3,2,2,1
No,2,27,Research & Development,1,Technical Degree,Male,2,2,Manufacturing Director,1,Married,4298,No,19,3,6,1,3,2,2,0
No,2,52,Research & Development,3,Life Sciences,Female,2,1,Laboratory Technician,4,Single,3212,No,15,3,6,3,2,2,2,2
No,2,59,Human Resources,2,Medical,Male,3,1,Human Resources,3,Married,2267,No,17,3,7,2,2,2,2,2
No,2,31,Research & Development,4,Medical,Male,3,3,Research Director,3,Divorced,13675,No,12,3,9,3,3,2,2,2
No,2,33,Research & Development,4,Life Sciences,Female,2,1,Research Scientist,4,Married,2911,No,13,3,2,2,2,2,0,2
No,2,38,Research & Development,4,Life Sciences,Male,3,2,Healthcare Representative,4,Divorced,5745,No,14,3,10,2,3,2,1,2
No,2,31,Sales,3,Marketing,Female,3,1,Sales Representative,2,Divorced,2789,No,11,3,2,5,2,2,2,2
No,2,31,Human Resources,3,Human Resources,Male,2,2,Human Resources,1,Married,6410,No,12,3,9,1,3,2,1,0
No,2,31,Research & Development,4,Life Sciences,Male,3,1,Research Scientist,4,Divorced,2695,Yes,18,3,3,2,1,2,2,2
No,2,30,Sales,2,Technical Degree,Female,3,2,Sales Executive,3,Married,4736,Yes,12,3,4,2,4,2,2,2
No,2,31,Research & Development,4,Life Sciences,Male,2,1,Research Scientist,2,Single,2657,Yes,16,3,3,5,3,2,2,2
No,2,36,Research & Development,3,Life Sciences,Female,3,1,Research Scientist,3,Married,2543,No,13,3,6,3,3,2,2,2
No,2,22,Research & Development,3,Medical,Female,3,1,Research Scientist,2,Married,2244,No,13,3,2,1,3,1,1,2
Yes,2,25,Research & Development,3,Medical,Male,3,1,Laboratory Technician,1,Married,4031,No,13,3,6,5,3,2,0,2
No,2,45,Research & Development,2,Life Sciences,Male,3,1,Research Scientist,4,Married,2654,No,21,4,8,3,2,2,0,2
Yes,2,34,Sales,2,Marketing,Female,1,1,Sales Representative,3,Divorced,2351,No,16,3,3,3,2,2,1,0
Yes,2,29,Research & Development,5,Technical Degree,Female,2,1,Research Scientist,2,Married,2546,No,16,3,6,2,4,2,1,1
No,2,42,Research & Development,2,Other,Male,3,1,Laboratory Technician,3,Married,2093,No,17,3,8,4,3,2,2,0
Yes,2,22,Research & Development,1,Technical Degree,Male,2,1,Laboratory Technician,3,Single,3894,No,16,3,4,3,3,2,1,2
No,2,46,Research & Development,1,Medical,Female,3,3,Healthcare Representative,3,Married,10527,No,11,3,28,3,2,2,1,2
No,2,24,Sales,3,Medical,Male,3,1,Sales Representative,4,Married,2400,No,13,3,3,3,3,2,2,1
No,2,44,Human Resources,4,Life Sciences,Female,2,2,Human Resources,3,Single,5985,No,11,3,10,1,4,2,0,2
No,2,44,Research & Development,4,Other,Male,3,5,Manager,4,Married,19513,Yes,12,3,26,2,4,2,0,1
No,2,22,Research & Development,1,Medical,Male,3,1,Research Scientist,3,Married,2773,No,20,4,3,3,3,2,2,2
No,2,48,Sales,1,Marketing,Male,4,2,Sales Executive,2,Married,8120,No,12,3,12,3,3,2,2,2
Yes,2,24,Sales,2,Life Sciences,Female,3,2,Sales Executive,3,Single,4577,No,14,3,4,3,3,2,2,0
No,2,60,Sales,4,Marketing,Male,3,2,Sales Executive,1,Single,5405,No,14,3,10,1,3,2,2,2
No,2,50,Sales,4,Marketing,Male,3,1,Sales Representative,2,Married,3875,No,15,3,4,2,3,2,2,2
Yes,2,42,Research & Development,3,Medical,Male,4,1,Research Scientist,3,Divorced,2759,Yes,12,3,7,2,3,2,2,2
No,2,43,Sales,3,Life Sciences,Male,2,2,Sales Executive,4,Married,6804,No,18,3,7,5,3,2,2,2
No,2,29,Sales,3,Marketing,Male,3,1,Sales Representative,2,Divorced,2297,No,14,3,2,2,3,2,2,2
No,2,53,Research & Development,3,Life Sciences,Male,3,2,Laboratory Technician,4,Single,2450,No,17,3,19,4,3,2,2,2
No,2,23,Research & Development,1,Medical,Male,4,1,Research Scientist,3,Single,3505,No,18,3,2,3,3,2,0,2
No,2,26,Research & Development,2,Life Sciences,Female,1,1,Laboratory Technician,4,Divorced,4364,No,14,3,5,2,3,2,2,0
No,2,30,Research & Development,3,Life Sciences,Male,1,1,Laboratory Technician,3,Married,3833,No,21,4,7,2,3,2,0,2
No,2,35,Research & Development,4,Life Sciences,Female,4,1,Research Scientist,3,Single,2506,No,13,3,7,0,3,2,2,2
Yes,2,28,Research & Development,4,Medical,Male,3,1,Research Scientist,3,Single,4382,No,17,3,5,3,2,2,2,1
No,2,22,Research & Development,2,Life Sciences,Male,2,2,Manufacturing Director,4,Married,4775,No,22,4,4,2,1,2,2,2
No,2,42,Research & Development,1,Medical,Male,3,1,Research Scientist,4,Single,2515,Yes,14,3,8,2,3,1,2,2
No,2,38,Sales,3,Marketing,Male,2,1,Sales Representative,2,Married,2899,No,19,3,3,3,3,2,1,2
No,2,53,Sales,3,Marketing,Male,3,4,Sales Executive,4,Married,11836,No,14,3,28,3,3,0,2,2
Yes,2,20,Sales,3,Medical,Female,2,1,Sales Representative,3,Single,2044,No,13,3,2,3,2,2,0,2
No,2,28,Research & Development,3,Medical,Female,3,1,Research Scientist,3,Divorced,2377,No,18,3,6,2,3,2,2,2
Yes,2,39,Research & Development,3,Medical,Male,3,1,Laboratory Technician,1,Married,2404,Yes,21,4,8,2,1,2,2,2
No,2,27,Research & Development,4,Technical Degree,Female,3,1,Laboratory Technician,2,Married,2811,No,14,3,4,2,3,2,2,2
No,2,38,Research & Development,1,Medical,Male,3,1,Research Scientist,3,Married,2684,No,17,3,3,0,2,1,0,2
No,2,48,Research & Development,3,Life Sciences,Male,2,2,Healthcare Representative,3,Single,4240,No,13,3,19,0,3,2,2,2
No,2,41,Research & Development,2,Medical,Female,3,2,Manufacturing Director,3,Single,5003,No,14,3,8,6,3,2,2,1
Yes,2,26,Sales,2,Medical,Male,1,2,Sales Executive,1,Single,4969,No,18,3,7,6,3,2,2,2
No,2,33,Sales,1,Life Sciences,Female,2,1,Sales Representative,4,Single,2342,No,19,3,3,2,2,2,2,2
No,2,38,Research & Development,4,Other,Male,3,1,Research Scientist,3,Married,2821,No,16,3,8,2,3,2,2,2
No,2,46,Research & Development,4,Medical,Male,3,5,Research Director,4,Divorced,19627,No,17,3,23,0,3,2,2,2
Yes,2,20,Sales,3,Marketing,Female,3,1,Sales Representative,4,Single,2323,Yes,14,3,2,3,3,2,0,2
Yes,2,33,Research & Development,3,Medical,Male,2,1,Research Scientist,2,Single,2313,Yes,20,4,5,0,3,2,2,2
No,2,21,Research & Development,1,Technical Degree,Female,2,1,Research Scientist,2,Single,2070,Yes,11,3,2,6,4,2,2,2
No,2,31,Sales,3,Life Sciences,Male,4,1,Sales Representative,4,Married,2791,No,12,3,3,4,3,2,2,2
Yes,2,31,Research & Development,3,Medical,Male,3,1,Laboratory Technician,3,Married,2610,No,12,3,2,5,2,2,2,2
No,2,35,Research & Development,4,Other,Male,2,1,Laboratory Technician,4,Married,2376,No,13,3,2,2,4,2,2,2
No,2,20,Research & Development,3,Life Sciences,Male,2,1,Laboratory Technician,3,Single,3033,No,12,3,2,2,2,2,1,2
No,2,50,Research & Development,3,Medical,Female,3,4,Manager,1,Married,17856,No,22,4,32,3,3,2,2,2
No,2,20,Sales,3,Marketing,Male,4,1,Sales Representative,4,Single,2678,No,17,3,2,2,3,1,2,2
No,2,32,Research & Development,3,Other,Female,2,1,Laboratory Technician,2,Married,2743,No,20,4,2,2,3,2,2,2
Yes,2,21,Research & Development,2,Life Sciences,Female,2,1,Laboratory Technician,3,Single,2625,No,20,4,2,2,1,2,2,2
No,2,28,Research & Development,3,Life Sciences,Male,2,1,Laboratory Technician,4,Married,3867,Yes,12,3,2,2,3,2,2,2
No,2,25,Research & Development,3,Medical,Female,3,1,Research Scientist,2,Single,2096,No,18,3,2,3,2,2,2,1
No,2,58,Research & Development,4,Life Sciences,Male,3,1,Research Scientist,3,Divorced,2372,No,12,3,2,3,3,2,2,2
No,2,35,Research & Development,2,Life Sciences,Male,3,3,Manufacturing Director,4,Single,9362,No,11,3,10,2,3,2,2,2
Yes,2,31,Research & Development,3,Life Sciences,Male,3,1,Laboratory Technician,4,Married,3722,Yes,13,3,7,2,1,2,2,2
No,2,48,Sales,3,Marketing,Male,3,2,Sales Executive,1,Divorced,5486,No,11,3,15,3,3,2,2,2
Yes,2,34,Human Resources,4,Technical Degree,Female,3,1,Human Resources,3,Married,2742,No,15,3,2,0,3,2,2,2
No,2,30,Sales,1,Life Sciences,Male,3,2,Sales Executive,3,Married,5301,No,15,3,4,2,2,1,2,2
No,2,44,Research & Development,1,Medical,Male,3,3,Manufacturing Director,3,Single,10209,Yes,18,3,16,2,2,2,2,2
No,2,39,Research & Development,3,Life Sciences,Female,3,3,Manufacturing Director,2,Single,8376,No,18,3,9,3,3,0,2,2
No,2,40,Research & Development,2,Life Sciences,Male,3,2,Healthcare Representative,4,Divorced,4069,Yes,18,3,8,2,3,2,2,2
No,2,33,Sales,4,Life Sciences,Male,3,2,Sales Executive,1,Married,6392,No,13,3,8,6,1,2,2,2
No,2,34,Research & Development,4,Life Sciences,Male,3,2,Research Scientist,4,Married,5484,No,17,3,9,3,2,2,2,1
No,2,23,Research & Development,3,Technical Degree,Male,4,1,Research Scientist,3,Married,2073,No,16,3,4,2,3,2,2,2
No,2,21,Research & Development,1,Medical,Male,3,1,Research Scientist,4,Single,3117,No,18,3,3,2,3,2,2,2
No,2,48,Research & Development,5,Medical,Male,2,4,Manager,4,Married,15202,No,25,4,23,3,3,2,2,2
Yes,2,35,Sales,2,Medical,Male,1,2,Sales Executive,4,Divorced,5440,Yes,14,3,7,2,2,2,2,2
No,2,20,Sales,3,Medical,Female,3,1,Sales Representative,3,Single,2783,No,19,3,2,3,3,2,2,2
No,2,49,Research & Development,3,Medical,Female,3,1,Laboratory Technician,1,Divorced,2587,Yes,16,3,17,2,2,2,2,2
No,2,41,Sales,2,Life Sciences,Male,3,3,Sales Executive,3,Single,7082,Yes,16,3,21,2,3,0,0,2
No,2,20,Sales,1,Life Sciences,Male,3,1,Sales Representative,1,Single,2728,No,11,3,2,3,3,2,0,2
No,2,44,Human Resources,3,Life Sciences,Female,3,1,Human Resources,4,Divorced,3195,Yes,18,3,8,2,3,2,2,2
Yes,2,36,Sales,5,Marketing,Male,2,2,Sales Executive,1,Divorced,6134,Yes,13,3,16,3,3,2,2,2
No,2,24,Human Resources,3,Medical,Male,3,1,Human Resources,4,Married,2145,No,14,3,3,2,3,2,2,1
Yes,2,29,Sales,3,Marketing,Female,1,1,Sales Representative,2,Single,2760,No,13,3,2,3,3,2,2,2
No,2,34,Sales,2,Life Sciences,Female,1,2,Sales Executive,4,Single,6029,No,12,3,6,3,3,2,2,2
No,2,51,Research & Development,3,Technical Degree,Female,3,3,Manager,3,Married,13116,No,11,3,15,2,3,2,2,2
No,2,46,Research & Development,4,Medical,Male,3,5,Research Director,4,Divorced,19328,Yes,17,3,24,3,3,1,2,2
No,2,46,Sales,2,Life Sciences,Male,2,2,Sales Executive,2,Single,7991,No,15,3,6,3,3,2,2,2
No,2,39,Sales,3,Life Sciences,Male,3,2,Sales Executive,4,Divorced,4127,No,18,3,7,6,3,1,2,2
No,2,58,Research & Development,4,Life Sciences,Male,3,4,Research Director,3,Married,15787,Yes,14,3,23,3,3,2,2,2
Yes,2,29,Human Resources,3,Human Resources,Male,2,1,Human Resources,1,Divorced,2335,Yes,15,3,4,3,3,2,2,0
No,2,47,Research & Development,4,Life Sciences,Female,3,1,Laboratory Technician,3,Single,2105,No,12,3,7,2,3,2,2,0
Yes,2,32,Sales,4,Marketing,Male,2,2,Sales Executive,2,Single,9907,Yes,12,3,7,3,2,2,2,2
No,2,39,Research & Development,4,Other,Male,3,2,Research Scientist,4,Divorced,3902,No,14,3,7,2,3,2,2,2
No,2,44,Research & Development,4,Life Sciences,Male,4,2,Healthcare Representative,1,Married,5033,No,15,3,10,5,3,0,2,2
No,2,31,Research & Development,3,Medical,Female,4,1,Laboratory Technician,3,Divorced,3978,No,12,3,4,0,2,2,2,2
Yes,2,28,Sales,2,Marketing,Female,3,2,Sales Executive,3,Single,9854,Yes,11,3,6,0,3,0,2,2
Yes,2,53,Sales,4,Life Sciences,Male,3,3,Sales Executive,1,Single,10448,Yes,13,3,15,2,2,2,2,2
No,2,25,Human Resources,3,Human Resources,Female,3,1,Human Resources,2,Married,2187,No,14,3,6,3,3,0,1,2
No,2,25,Research & Development,1,Other,Male,3,1,Laboratory Technician,3,Divorced,3977,Yes,19,3,7,2,2,2,0,2
No,2,31,Sales,2,Life Sciences,Male,3,1,Sales Representative,3,Married,3067,No,19,3,3,1,3,2,1,2
No,2,35,Research & Development,4,Medical,Male,3,1,Laboratory Technician,3,Married,2660,Yes,11,3,5,3,3,2,2,2
No,2,32,Sales,4,Medical,Male,2,1,Sales Representative,2,Married,2269,No,14,3,3,2,3,2,2,2
No,2,21,Sales,1,Medical,Male,3,1,Sales Representative,1,Single,2380,Yes,11,3,2,6,3,2,1,2
Yes,2,29,Research & Development,4,Medical,Male,3,1,Research Scientist,4,Married,4787,Yes,14,3,4,3,4,2,2,2
No,2,40,Research & Development,4,Life Sciences,Male,2,1,Research Scientist,3,Single,2809,No,14,3,8,2,3,2,2,2
No,3,38,Research & Development,3,Life Sciences,Male,3,1,Research Scientist,4,Single,3944,Yes,11,3,6,3,3,2,1,2
Yes,3,50,Sales,2,Marketing,Male,2,1,Sales Representative,3,Married,2683,Yes,14,3,3,2,3,2,0,2
No,3,35,Research & Development,3,Medical,Male,3,1,Research Scientist,1,Married,2194,No,13,3,5,2,2,2,1,2
No,3,24,Sales,2,Other,Female,3,2,Sales Executive,3,Married,4999,No,21,4,4,2,2,2,0,2
No,3,44,Research & Development,3,Medical,Male,3,2,Laboratory Technician,2,Married,2042,No,12,3,17,3,4,2,1,2
Yes,3,37,Human Resources,4,Human Resources,Male,3,1,Human Resources,1,Divorced,2073,Yes,22,4,7,3,3,2,0,2
No,3,59,Human Resources,4,Human Resources,Female,2,5,Manager,4,Married,18844,No,21,4,30,3,3,2,2,2
No,3,43,Research & Development,3,Medical,Female,4,1,Research Scientist,3,Single,4739,No,12,3,18,2,3,2,1,2
No,3,36,Research & Development,2,Medical,Male,3,2,Manufacturing Director,2,Divorced,4941,No,20,4,7,0,3,2,0,1
No,3,38,Research & Development,5,Technical Degree,Female,3,2,Research Scientist,3,Single,4317,Yes,20,4,19,2,3,2,2,2
No,3,30,Research & Development,3,Technical Degree,Female,3,1,Research Scientist,1,Divorced,3204,No,14,3,8,3,3,2,2,2
No,3,33,Research & Development,3,Life Sciences,Male,3,1,Research Scientist,4,Single,2500,No,14,3,4,2,4,1,0,2
No,3,34,Research & Development,2,Medical,Female,3,1,Research Scientist,2,Single,2311,No,15,3,9,3,3,2,1,2
No,3,50,Research & Development,3,Medical,Male,2,1,Laboratory Technician,3,Married,3690,No,15,3,5,2,2,2,0,2
No,3,40,Research & Development,5,Life Sciences,Male,2,2,Healthcare Representative,4,Married,4876,No,14,3,5,5,1,2,0,2
No,3,33,Research & Development,4,Medical,Female,2,1,Research Scientist,2,Married,2622,No,21,4,7,3,3,2,1,1
Yes,3,32,Research & Development,3,Life Sciences,Male,2,1,Laboratory Technician,3,Single,3730,Yes,14,3,4,2,1,2,1,2
No,3,39,Research & Development,4,Medical,Female,3,1,Laboratory Technician,3,Divorced,2232,No,14,3,7,1,3,2,1,2
No,3,32,Sales,4,Marketing,Male,3,2,Sales Executive,4,Married,4465,No,18,3,4,2,3,2,2,2
No,3,37,Research & Development,2,Medical,Female,2,1,Research Scientist,1,Married,3920,No,14,3,17,2,2,1,0,2
No,3,45,Research & Development,4,Life Sciences,Male,4,2,Manufacturing Director,3,Married,6434,No,17,3,9,1,3,2,0,2
No,3,42,Research & Development,2,Life Sciences,Female,4,2,Research Scientist,1,Single,6545,Yes,13,3,10,1,3,2,0,2
No,3,29,Sales,2,Marketing,Male,3,2,Sales Executive,4,Divorced,6931,No,14,3,10,2,3,2,0,2
No,3,21,Research & Development,2,Medical,Male,2,1,Research Scientist,3,Single,3230,No,17,3,3,4,4,2,1,0
Yes,3,26,Research & Development,4,Medical,Male,3,1,Laboratory Technician,2,Divorced,2373,Yes,13,3,5,2,3,2,0,2
No,3,49,Research & Development,4,Life Sciences,Female,3,5,Research Director,1,Single,18665,Yes,11,3,22,4,3,2,1,2
Yes,3,28,Research & Development,4,Medical,Male,1,1,Research Scientist,4,Married,3464,Yes,13,3,5,4,2,2,2,2
No,3,47,Research & Development,5,Life Sciences,Male,3,5,Research Director,3,Married,18300,No,11,3,21,2,3,2,1,1
No,3,29,Research & Development,5,Other,Male,2,1,Laboratory Technician,4,Single,3983,No,17,3,4,2,3,2,2,2
No,3,42,Human Resources,1,Technical Degree,Male,3,1,Human Resources,3,Divorced,2696,Yes,11,3,4,5,3,2,1,0
Yes,3,21,Sales,1,Technical Degree,Female,2,1,Sales Representative,2,Single,2174,Yes,11,3,3,3,3,2,1,2
No,3,57,Research & Development,4,Medical,Male,3,2,Healthcare Representative,3,Married,6755,No,11,3,15,2,3,2,1,2
No,3,21,Sales,2,Medical,Male,3,1,Sales Representative,4,Single,2610,No,24,4,3,3,2,2,2,2
No,3,29,Research & Development,3,Life Sciences,Male,3,1,Research Scientist,4,Single,2201,No,16,3,6,4,3,2,1,2
No,3,34,Sales,4,Marketing,Female,3,2,Sales Executive,3,Married,6538,No,15,3,6,3,3,2,1,2
No,3,43,Research & Development,3,Medical,Male,3,1,Laboratory Technician,4,Married,2258,No,20,4,8,1,3,2,1,2
No,3,26,Research & Development,3,Life Sciences,Female,3,1,Research Scientist,4,Divorced,2886,No,22,4,3,3,1,2,0,2
No,3,46,Research & Development,3,Life Sciences,Male,3,4,Research Director,3,Married,17861,No,13,3,26,2,1,2,0,1
No,3,46,Sales,3,Marketing,Female,2,3,Sales Executive,4,Married,9071,Yes,19,3,15,3,3,2,1,2
No,3,30,Sales,1,Marketing,Male,3,1,Sales Representative,2,Single,2983,No,14,3,4,3,3,2,1,2
Yes,3,34,Human Resources,3,Human Resources,Female,3,3,Human Resources,1,Divorced,9950,Yes,15,3,11,2,3,2,0,2
No,3,29,Research & Development,3,Technical Degree,Male,3,2,Manufacturing Director,4,Divorced,4262,No,12,3,8,2,4,2,1,2
Yes,3,31,Sales,4,Medical,Male,3,2,Sales Executive,1,Divorced,4233,No,17,3,9,2,1,1,1,2
No,3,35,Research & Development,2,Other,Male,2,2,Laboratory Technician,4,Single,3681,No,14,3,9,3,3,2,0,2
No,3,37,Sales,3,Marketing,Male,3,2,Sales Executive,3,Married,9602,Yes,11,3,17,3,2,0,1,0
No,3,48,Research & Development,4,Life Sciences,Female,2,4,Manager,1,Married,15402,No,11,3,21,3,1,2,0,2
No,3,21,Sales,1,Technical Degree,Male,3,1,Sales Representative,3,Single,3447,No,11,3,3,2,3,2,1,2
No,3,26,Research & Development,3,Life Sciences,Female,3,1,Laboratory Technician,4,Married,2659,Yes,13,3,3,2,3,2,0,2
No,3,36,Research & Development,2,Medical,Male,2,2,Manufacturing Director,2,Divorced,8847,Yes,11,3,13,2,3,2,0,2
No,3,23,Research & Development,3,Medical,Male,4,1,Research Scientist,1,Married,2819,No,16,3,5,3,4,2,0,2
No,3,25,Sales,3,Life Sciences,Male,4,2,Sales Executive,2,Married,4851,No,22,4,4,4,3,2,1,2
No,3,35,Sales,4,Life Sciences,Female,3,1,Sales Representative,4,Married,2572,No,16,3,3,1,2,2,0,2
No,3,34,Sales,2,Life Sciences,Female,3,2,Sales Executive,1,Married,6500,No,17,3,6,1,3,2,1,2
Yes,3,33,Sales,3,Marketing,Female,3,2,Sales Executive,1,Single,5324,No,15,3,6,3,3,2,0,2
No,3,34,Human Resources,2,Human Resources,Male,3,1,Human Resources,4,Married,3737,No,19,3,4,1,1,2,0,2
No,3,44,Research & Development,4,Life Sciences,Male,4,1,Laboratory Technician,4,Married,2818,Yes,24,4,10,2,2,2,0,2
No,3,32,Research & Development,3,Life Sciences,Male,3,1,Laboratory Technician,4,Divorced,2314,No,12,3,4,2,3,0,0,2
Yes,3,29,Sales,3,Medical,Female,2,1,Sales Representative,3,Divorced,2800,Yes,19,3,5,3,3,2,0,2
No,3,47,Sales,4,Life Sciences,Female,2,1,Sales Representative,4,Single,3294,Yes,18,3,3,3,2,2,1,2
Yes,3,22,Research & Development,1,Life Sciences,Female,3,2,Manufacturing Director,3,Married,4171,Yes,19,3,4,3,4,2,0,2
No,3,33,Research & Development,4,Other,Male,2,1,Research Scientist,1,Single,2799,Yes,11,3,6,1,3,2,0,2
No,3,32,Research & Development,3,Life Sciences,Female,2,1,Laboratory Technician,2,Married,2332,No,20,4,5,3,3,0,0,2
No,3,29,Sales,3,Technical Degree,Female,3,1,Sales Representative,4,Married,2157,No,15,3,3,5,3,1,0,2
Yes,3,31,Research & Development,2,Medical,Male,2,1,Research Scientist,1,Single,2321,Yes,22,4,4,0,3,2,1,2
No,3,33,Research & Development,1,Life Sciences,Female,3,1,Research Scientist,4,Single,3452,No,18,3,5,4,3,2,0,2
Yes,3,30,Research & Development,3,Medical,Female,3,1,Laboratory Technician,2,Single,2422,No,17,3,4,3,3,2,1,2
No,3,27,Research & Development,4,Life Sciences,Female,3,2,Manufacturing Director,4,Married,4227,No,18,3,4,2,3,2,2,2
No,3,35,Research & Development,3,Other,Male,3,1,Laboratory Technician,4,Divorced,3917,No,20,4,3,4,2,2,1,2
Yes,3,26,Research & Development,3,Life Sciences,Male,3,1,Research Scientist,1,Married,2042,Yes,14,3,6,2,3,2,1,2
No,3,27,Research & Development,5,Life Sciences,Male,1,1,Laboratory Technician,3,Married,4621,No,19,3,3,4,3,2,1,2
No,3,55,Research & Development,1,Life Sciences,Male,3,3,Manufacturing Director,2,Married,10976,No,18,3,23,4,3,2,1,2
No,3,33,Research & Development,3,Life Sciences,Male,2,3,Healthcare Representative,4,Divorced,7119,No,15,3,9,2,3,2,1,2
No,3,33,Sales,3,Life Sciences,Female,3,2,Sales Executive,2,Married,4302,No,17,3,4,3,3,2,0,2
No,3,34,Research & Development,2,Life Sciences,Male,3,2,Manufacturing Director,3,Single,4033,No,11,3,5,3,2,2,0,2
No,3,28,Research & Development,3,Life Sciences,Male,2,1,Research Scientist,3,Divorced,2703,Yes,14,3,3,2,3,1,0,2
No,3,45,Research & Development,3,Medical,Female,3,1,Research Scientist,3,Married,4477,Yes,19,3,7,2,2,2,0,2
No,3,29,Research & Development,3,Life Sciences,Female,3,1,Research Scientist,4,Divorced,3760,No,15,3,3,5,3,2,1,2
No,3,34,Sales,3,Marketing,Female,3,2,Sales Executive,1,Single,4538,Yes,12,3,4,3,3,2,0,2
No,3,35,Research & Development,1,Life Sciences,Male,3,1,Research Scientist,3,Married,3506,Yes,14,3,4,3,3,2,2,2
No,3,28,Research & Development,3,Technical Degree,Male,3,1,Research Scientist,1,Single,2080,No,11,3,5,2,2,2,1,2
No,3,50,Research & Development,3,Life Sciences,Female,3,4,Research Director,1,Married,16880,Yes,11,3,25,2,3,2,1,2
Yes,3,31,Sales,3,Life Sciences,Female,3,1,Sales Representative,2,Single,2302,Yes,11,3,3,2,4,2,2,2
Yes,3,44,Research & Development,3,Life Sciences,Male,3,1,Laboratory Technician,1,Married,2362,No,12,3,10,4,4,2,1,2
No,3,25,Research & Development,1,Medical,Male,3,1,Laboratory Technician,4,Married,3669,No,11,3,7,6,2,2,1,2
No,3,32,Sales,1,Marketing,Male,3,2,Sales Executive,2,Married,4078,Yes,13,3,4,3,2,2,1,2
No,3,25,Sales,1,Life Sciences,Male,4,2,Sales Executive,3,Married,6232,No,11,3,6,3,2,2,1,2
No,3,37,Research & Development,3,Medical,Female,3,1,Laboratory Technician,3,Single,3629,No,18,3,8,6,3,2,0,2
No,3,25,Research & Development,3,Technical Degree,Male,3,1,Laboratory Technician,4,Married,3229,No,11,3,7,2,2,2,0,2
No,3,30,Sales,4,Marketing,Female,3,2,Sales Executive,1,Divorced,4779,No,14,3,8,3,3,2,0,2
No,3,31,Research & Development,5,Life Sciences,Female,3,4,Research Director,2,Single,16422,No,11,3,9,3,4,2,1,0
No,3,36,Sales,4,Marketing,Female,2,2,Sales Executive,1,Married,5647,No,13,3,11,3,2,2,0,2
Yes,3,25,Sales,2,Life Sciences,Male,2,1,Sales Representative,1,Married,4400,No,12,3,6,2,3,2,2,2
No,3,56,Research & Development,2,Life Sciences,Female,3,1,Research Scientist,1,Married,2066,No,22,4,5,3,4,2,1,0
No,3,31,Human Resources,2,Medical,Female,4,1,Human Resources,2,Single,2109,No,18,3,8,3,3,2,0,2
No,3,45,Research & Development,3,Technical Degree,Male,3,3,Manufacturing Director,4,Married,9380,Yes,18,3,10,4,4,1,1,2
No,3,49,Research & Development,4,Technical Degree,Male,3,2,Healthcare Representative,3,Married,6651,No,14,3,20,0,2,2,1,2
No,3,40,Research & Development,3,Medical,Male,3,1,Research Scientist,3,Divorced,2345,No,14,3,8,3,4,1,1,2
Yes,3,28,Sales,3,Technical Degree,Male,3,1,Sales Representative,3,Married,2909,No,15,3,5,3,4,2,1,2
No,3,55,Research & Development,4,Life Sciences,Male,3,2,Healthcare Representative,3,Married,4035,Yes,16,3,4,2,3,2,1,2
No,3,49,Research & Development,2,Medical,Female,2,2,Laboratory Technician,1,Married,4789,No,25,4,10,3,3,2,1,2
No,3,29,Research & Development,1,Life Sciences,Female,3,1,Laboratory Technician,2,Married,3180,No,13,3,4,3,3,2,0,2
No,3,36,Sales,4,Life Sciences,Male,3,1,Sales Representative,4,Single,2644,Yes,21,4,7,3,2,2,1,2
No,3,35,Research & Development,3,Medical,Male,2,1,Laboratory Technician,1,Single,2450,No,19,3,3,3,3,0,1,2
No,3,38,Sales,3,Life Sciences,Female,3,2,Sales Executive,2,Single,4198,No,12,3,8,5,4,2,1,2
No,3,36,Research & Development,4,Life Sciences,Male,4,2,Laboratory Technician,1,Married,5562,Yes,13,3,9,3,3,2,0,2
No,3,32,Research & Development,4,Other,Female,4,1,Research Scientist,4,Married,3312,No,17,3,6,3,3,2,0,2
No,3,36,Research & Development,4,Life Sciences,Female,3,2,Manufacturing Director,3,Married,4663,Yes,12,3,7,2,3,2,1,1
